country_iso3,year,source,indicator_code,indicator_short,value
ABW,1979,un,UN_86,total_dependency_ratio,54.7051913319503
ABW,1979,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1979,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1979,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1979,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1979,worldbank,SP.ADO.TFRT,adolescent_fertility,44.113
ABW,1979,worldbank,SP.DYN.TFRT.IN,tfr,2.257
ABW,1979,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.9830722746357
ABW,1980,un,UN_18,mean_age_childbearing,27.16
ABW,1980,un,UN_41,female_population_15_49,17765.0
ABW,1980,un,UN_50,population_change,128.0
ABW,1980,un,UN_66,crude_net_migration_rate,-12.186
ABW,1980,un,UN_67,median_age,24.1571077743198
ABW,1980,un,UN_83,child_dependency_ratio,44.130792754646
ABW,1980,un,UN_86,total_dependency_ratio,53.6208198690091
ABW,1980,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1980,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1980,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1980,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1980,worldbank,SP.ADO.TFRT,adolescent_fertility,44.529
ABW,1980,worldbank,SP.DYN.TFRT.IN,tfr,2.203
ABW,1980,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,66.0859123811135
ABW,1981,un,UN_18,mean_age_childbearing,27.068
ABW,1981,un,UN_41,female_population_15_49,17829.5
ABW,1981,un,UN_50,population_change,326.000000000001
ABW,1981,un,UN_66,crude_net_migration_rate,-8.785
ABW,1981,un,UN_67,median_age,24.7559300982476
ABW,1981,un,UN_83,child_dependency_ratio,43.3708721630726
ABW,1981,un,UN_86,total_dependency_ratio,53.1043300794217
ABW,1981,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1981,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1981,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1981,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1981,worldbank,SP.ADO.TFRT,adolescent_fertility,45.558
ABW,1981,worldbank,SP.DYN.TFRT.IN,tfr,2.161
ABW,1981,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,66.0991174416016
ABW,1982,un,UN_18,mean_age_childbearing,26.987
ABW,1982,un,UN_41,female_population_15_49,17925.0
ABW,1982,un,UN_50,population_change,445.999999999998
ABW,1982,un,UN_66,crude_net_migration_rate,-6.592
ABW,1982,un,UN_67,median_age,25.3580123701571
ABW,1982,un,UN_83,child_dependency_ratio,42.6466465978477
ABW,1982,un,UN_86,total_dependency_ratio,52.7147749570389
ABW,1982,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1982,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1982,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1982,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1982,worldbank,SP.ADO.TFRT,adolescent_fertility,47.655
ABW,1982,worldbank,SP.DYN.TFRT.IN,tfr,2.142
ABW,1982,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,66.0706191076215
ABW,1983,un,UN_18,mean_age_childbearing,26.914
ABW,1983,un,UN_41,female_population_15_49,18041.5
ABW,1983,un,UN_50,population_change,442.999999999998
ABW,1983,un,UN_66,crude_net_migration_rate,-6.419
ABW,1983,un,UN_67,median_age,25.9839150141234
ABW,1983,un,UN_83,child_dependency_ratio,41.7995032194275
ABW,1983,un,UN_86,total_dependency_ratio,52.1607543347722
ABW,1983,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1983,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1983,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1983,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1983,worldbank,SP.ADO.TFRT,adolescent_fertility,49.811
ABW,1983,worldbank,SP.DYN.TFRT.IN,tfr,2.148
ABW,1983,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,66.0149065385293
ABW,1984,un,UN_18,mean_age_childbearing,26.85
ABW,1984,un,UN_41,female_population_15_49,18128.0
ABW,1984,un,UN_50,population_change,303.000000000004
ABW,1984,un,UN_66,crude_net_migration_rate,-8.429
ABW,1984,un,UN_67,median_age,26.6367861068759
ABW,1984,un,UN_83,child_dependency_ratio,40.999498579308
ABW,1984,un,UN_86,total_dependency_ratio,51.5472409923354
ABW,1984,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1984,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1984,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1984,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1984,worldbank,SP.ADO.TFRT,adolescent_fertility,51.578
ABW,1984,worldbank,SP.DYN.TFRT.IN,tfr,2.17
ABW,1984,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.9393526607032
ABW,1985,un,UN_18,mean_age_childbearing,26.798
ABW,1985,un,UN_41,female_population_15_49,18166.5
ABW,1985,un,UN_50,population_change,80.999999999996
ABW,1985,un,UN_66,crude_net_migration_rate,-11.797
ABW,1985,un,UN_67,median_age,27.3834548450225
ABW,1985,un,UN_83,child_dependency_ratio,40.0158591142566
ABW,1985,un,UN_86,total_dependency_ratio,50.6888063057732
ABW,1985,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,
ABW,1985,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1985,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1985,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1985,worldbank,SP.ADO.TFRT,adolescent_fertility,52.848
ABW,1985,worldbank,SP.DYN.TFRT.IN,tfr,2.188
ABW,1985,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.85044772886
ABW,1986,un,UN_18,mean_age_childbearing,26.756
ABW,1986,un,UN_41,female_population_15_49,18152.0
ABW,1986,un,UN_50,population_change,-161.000000000001
ABW,1986,un,UN_66,crude_net_migration_rate,-14.995
ABW,1986,un,UN_67,median_age,28.2283102130766
ABW,1986,un,UN_83,child_dependency_ratio,38.8227132156674
ABW,1986,un,UN_86,total_dependency_ratio,49.621955951695
ABW,1986,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,6767.55922942669
ABW,1986,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1986,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1986,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1986,worldbank,SP.ADO.TFRT,adolescent_fertility,54.444
ABW,1986,worldbank,SP.DYN.TFRT.IN,tfr,2.212
ABW,1986,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.7546819977163
ABW,1987,un,UN_18,mean_age_childbearing,26.724
ABW,1987,un,UN_41,female_population_15_49,18107.5
ABW,1987,un,UN_50,population_change,-265.999999999998
ABW,1987,un,UN_66,crude_net_migration_rate,-16.591
ABW,1987,un,UN_67,median_age,29.1286735611905
ABW,1987,un,UN_83,child_dependency_ratio,37.5622269335738
ABW,1987,un,UN_86,total_dependency_ratio,48.5434505054291
ABW,1987,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,8244.04566011433
ABW,1987,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1987,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1987,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1987,worldbank,SP.ADO.TFRT,adolescent_fertility,56.2
ABW,1987,worldbank,SP.DYN.TFRT.IN,tfr,2.243
ABW,1987,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.6585457219888
ABW,1988,un,UN_18,mean_age_childbearing,26.71
ABW,1988,un,UN_41,female_population_15_49,18046.0
ABW,1988,un,UN_50,population_change,-143.000000000001
ABW,1988,un,UN_66,crude_net_migration_rate,-14.319
ABW,1988,un,UN_67,median_age,29.9889649726871
ABW,1988,un,UN_83,child_dependency_ratio,36.5606227063416
ABW,1988,un,UN_86,total_dependency_ratio,47.7373132932844
